x,y,theta,stamp
2.075579885740808e-08,-2.3963121265069276e-08,2.3834654733514485e-07,1729888510109229586
2.075579885740808e-08,-2.3963121265069276e-08,2.3834654733514485e-07,1729888510160249663
2.075579885740808e-08,-2.3963121265069276e-08,2.3834654733514485e-07,1729888510199232263
0.0001707917544990778,2.4567627406213433e-05,-0.001324435507703181,1729888510269641042
0.002308404538780451,-0.0001922376686707139,-0.016414731121204066,1729888510320130626
0.005171351600438356,-0.0006037459243088961,-0.03453014936829642,1729888510359199798
0.010175340808928013,-0.0011660463642328978,-0.0631440827437884,1729888510409139899
0.01618408039212227,-0.0016964470269158483,-0.1007173578295702,1729888510459168334
0.02348444238305092,-0.00297078350558877,-0.14477243808312348,1729888510509136153
0.03208571672439575,-0.004609328228980303,-0.19717225078877307,1729888510559182550
0.03974844142794609,-0.006314891390502453,-0.24465531854001937,1729888510599111941
0.05043509602546692,-0.009687850251793861,-0.31386485992866825,1729888510649034927
0.0657925009727478,-0.015439995564520359,-0.42334876311611547,1729888510720388648
0.0747075006365776,-0.019520891830325127,-0.48547838038465363,1729888510761197973
0.08614480495452881,-0.02644466608762741,-0.5665426010375686,1729888510812150157
0.09483566880226135,-0.03226260095834732,-0.6350751572103753,1729888510855162035
0.10453152656555176,-0.039790160953998566,-0.7082223132621082,1729888510904165006
0.11370954662561417,-0.047974638640880585,-0.7844390626274617,1729888510954197051
0.12220655381679535,-0.0568699836730957,-0.8621777867489139,1729888511005011417
0.12977609038352966,-0.06650926917791367,-0.9345743092848335,1729888511052247743
0.13853366672992706,-0.07945804297924042,-1.0304252735506219,1729888511114552221
0.1445724219083786,-0.08985278010368347,-1.1106002721927926,1729888511165204021
0.14918366074562073,-0.10022427886724472,-1.1791216642977234,1729888511209189839
0.15355823934078217,-0.11144480854272842,-1.2573774325232876,1729888511259198597
0.15701739490032196,-0.12320280820131302,-1.3358242442503196,1729888511310140851
0.1595798283815384,-0.13589614629745483,-1.4114999406947757,1729888511359241119
0.16131269931793213,-0.1457468718290329,-1.4734922690648833,1729888511400045290
0.1618833988904953,-0.15821249783039093,-1.5476485022411153,1729888511449333025
0.16155816614627838,-0.17558357119560242,-1.654845746898581,1729888511519120512
0.16067123413085938,-0.18521514534950256,-1.7177273318477553,1729888511560560571
0.15834078192710876,-0.19754333794116974,-1.7954054358350782,1729888511609171534
0.1553397923707962,-0.20935767889022827,-1.8742042870097184,1729888511659189245
0.15111452341079712,-0.2211209535598755,-1.9518302813868855,1729888511709201231
0.14629539847373962,-0.23305059969425201,-2.026321881849778,1729888511760547504
0.14102782309055328,-0.2431277185678482,-2.077685087100928,1729888511799628847
0.1344442069530487,-0.2553194463253021,-2.138747145904586,1729888511849355095
0.12295816838741302,-0.2724314033985138,-2.2166195021622244,1729888511920007638
0.1154724732041359,-0.2820192575454712,-2.2553742020991097,1729888511960200238
0.10555639117956161,-0.29358717799186707,-2.302591371025386,1729888512009146502
0.09521960467100143,-0.30472686886787415,-2.343519183432236,1729888512059353775
0.08476930111646652,-0.3153052031993866,-2.3767778732658127,1729888512109044062
0.07403190433979034,-0.32568272948265076,-2.405385924432354,1729888512159209151
0.06540936231613159,-0.3338223695755005,-2.4264064122105657,1729888512200761258
0.05382949113845825,-0.34382399916648865,-2.449506040886118,1729888512251245021
0.0375499352812767,-0.35700908303260803,-2.4792354033020048,1729888512319161159
0.02814226783812046,-0.3642417788505554,-2.493502618846313,1729888512360636423
0.016082696616649628,-0.37321749329566956,-2.5090189005408794,1729888512409711888
0.004170495551079512,-0.3820721209049225,-2.5202784228644326,1729888512459522366
-0.008314553648233414,-0.3907865583896637,-2.5281531974070677,1729888512509250814
-0.020397871732711792,-0.3991662263870239,-2.5353175974262396,1729888512560437648
-0.030404414981603622,-0.40578797459602356,-2.539825192533337,1729888512599088934
-0.042814504355192184,-0.4144730865955353,-2.5475845725576263,1729888512651300858
-0.06022091209888458,-0.4260258078575134,-2.555752004710475,1729888512720345294
-0.07016909867525101,-0.4327436685562134,-2.559161205531043,1729888512759065360
-0.08257851749658585,-0.44077813625335693,-2.563498277345381,1729888512810187594
-0.09531915187835693,-0.44892486929893494,-2.5664358351289622,1729888512859821131
-0.10797132551670074,-0.4572000801563263,-2.5707807457844147,1729888512909548353
-0.12070629000663757,-0.4650798738002777,-2.573607633713643,1729888512960658402
-0.13070860505104065,-0.4715023636817932,-2.576429832162274,1729888513000210060
-0.14882320165634155,-0.4826161861419678,-2.579211986900235,1729888513069749728
-0.15640054643154144,-0.48751184344291687,-2.582099505501339,1729888513099362620
-0.1714700311422348,-0.49713292717933655,-2.5866859034986027,1729888513159423416
-0.18439574539661407,-0.5048065185546875,-2.5878496790689356,1729888513209386952
-0.19699832797050476,-0.5127304196357727,-2.588276848305862,1729888513259286766
-0.20930278301239014,-0.5204777717590332,-2.586452914486691,1729888513309500547
-0.2220219224691391,-0.5281751155853271,-2.5866589641800206,1729888513358962726
-0.23265372216701508,-0.5349823236465454,-2.587026845746545,1729888513399182406
-0.24554146826267242,-0.5427390933036804,-2.5884003866792322,1729888513449958056
-0.2580965757369995,-0.5505833625793457,-2.5889842782244856,1729888513499175832
-0.27280962467193604,-0.5598108768463135,-2.5894749105410892,1729888513559394656
-0.28564584255218506,-0.5676584839820862,-2.588763731709448,1729888513610365462
-0.29822054505348206,-0.5756068229675293,-2.5892095651966835,1729888513659318942
-0.31118980050086975,-0.5831876397132874,-2.589599818637291,1729888513709369780
-0.32395464181900024,-0.5911762118339539,-2.5914576020971984,1729888513759605290
-0.3341735899448395,-0.5976659655570984,-2.59155554641682,1729888513799298293
-0.34718164801597595,-0.6054438352584839,-2.592638499654417,1729888513850388107
-0.36479121446609497,-0.6162888407707214,-2.59551027092918,1729888513919768366
-0.3752105236053467,-0.6224671006202698,-2.5959642277154495,1729888513959227315
-0.38810014724731445,-0.6302345991134644,-2.596565685420619,1729888514010453030
-0.4008353352546692,-0.6378648281097412,-2.5955349348723273,1729888514061223424
-0.4132349491119385,-0.6454626321792603,-2.5944764540973146,1729888514109209231
-0.42585957050323486,-0.6533489227294922,-2.5941348103145603,1729888514158333895
-0.4369613826274872,-0.6600302457809448,-2.5937251919241886,1729888514200328067
-0.44975003600120544,-0.6679474711418152,-2.5945343659602016,1729888514251420362
-0.4668952524662018,-0.6783989667892456,-2.5958118583603587,1729888514318182530
-0.4775172770023346,-0.6849823594093323,-2.5959347828536834,1729888514360210748
-0.4903082549571991,-0.6929156184196472,-2.5959465240465107,1729888514411180120
-0.5032112002372742,-0.7003613114356995,-2.5958413560501437,1729888514461218832
-0.5150085091590881,-0.707953929901123,-2.5966541291094885,1729888514507186625
-0.5279523134231567,-0.7158542275428772,-2.5963855104407765,1729888514557284287
-0.5391427278518677,-0.7225090265274048,-2.596510008436173,1729888514601280748
-0.5515295267105103,-0.7302634119987488,-2.597370176917049,1729888514651562974
-0.5647459626197815,-0.738005518913269,-2.597628589531154,1729888514700716282
-0.5801424384117126,-0.7473645210266113,-2.5989134532270675,1729888514760291043
-0.5928059816360474,-0.7550090551376343,-2.5988409216635135,1729888514810392955
-0.6054470539093018,-0.7626287341117859,-2.5983431181922296,1729888514860256685
-0.6174278855323792,-0.7701391577720642,-2.5969402851550987,1729888514908245049
-0.630527913570404,-0.778165876865387,-2.59574393383592,1729888514958754445
-0.6412404775619507,-0.784713089466095,-2.595763613667672,1729888515000426011
-0.6541358828544617,-0.7926531434059143,-2.5960734113311386,1729888515050330395
-0.6672119498252869,-0.8004435896873474,-2.5960688135589187,1729888515100129999
-0.6824092864990234,-0.8099981546401978,-2.597581208555354,1729888515160354711
-0.6952298879623413,-0.8174450397491455,-2.5972566656853995,1729888515209180180
-0.7076759934425354,-0.8251997828483582,-2.5996895099008683,1729888515259263246
-0.7202176451683044,-0.8327297568321228,-2.59877914473608,1729888515307219043
-0.7331075668334961,-0.8403818011283875,-2.59927061196211,1729888515357200383
-0.7437757253646851,-0.8470135927200317,-2.600249781454843,1729888515400705430
-0.7611582279205322,-0.8573989868164062,-2.600837980630068,1729888515466958236
-0.7743182182312012,-0.8654986023902893,-2.6020269408757692,1729888515517555949
-0.7851371169090271,-0.8718482255935669,-2.6022849334710196,1729888515560194815
-0.7978659868240356,-0.8794405460357666,-2.6021068100957283,1729888515610221683
-0.8104100227355957,-0.8871205449104309,-2.6018731428200117,1729888515659189806
-0.8232396841049194,-0.89459627866745,-2.600032345728882,1729888515711177029
-0.8351017832756042,-0.9019688367843628,-2.5999424356892273,1729888515757218039
-0.8452231287956238,-0.9080941677093506,-2.6004662497712534,1729888515800339059
-0.8603344559669495,-0.917198896408081,-2.6005134360164743,1729888515871327887
-0.8660151958465576,-0.920671820640564,-2.6005134360164743,1729888515899408946
-0.8768993020057678,-0.9271501302719116,-2.6012939951991343,1729888515960392743
-0.8853467702865601,-0.932045578956604,-2.6018912508161613,1729888516009191220
-0.8926069140434265,-0.9365711212158203,-2.6045882192417675,1729888516059224487
-0.8996530771255493,-0.9408002495765686,-2.6064991961245623,1729888516110173532
-0.9054989218711853,-0.9443148374557495,-2.6080274569982316,1729888516155205283
-0.9112331867218018,-0.9476377367973328,-2.6081535262306317,1729888516199978972
-0.9172782897949219,-0.9511985778808594,-2.6084604256076647,1729888516249703096
